cluster_id,x_m,y_m,x_km,y_km,x_km_shift,y_km_shift,total_demand,scaled_demand
0.000000000000000000e+00,1.762048842497037724e+06,1.407235656013473636e+06,1.762048842497037640e+03,1.407235656013473545e+03,5.460305609773278775e+03,1.714254743985824007e+03,6.234775751337051392e+06,6.234775751337051197e+00
1.000000000000000000e+00,-6.156420989707587287e+05,1.921548991716655903e+06,-6.156420989707587523e+02,1.921548991716655792e+03,3.082614668305482155e+03,2.228568079689006026e+03,3.296301638732910156e+06,3.296301638732910266e+00
2.000000000000000000e+00,8.093764854464621749e+05,1.967958141922740499e+06,8.093764854464621976e+02,1.967958141922740424e+03,4.507633252722703219e+03,2.274977229895090659e+03,8.277207479003906250e+06,8.277207479003905632e+00
3.000000000000000000e+00,-1.916533332182707032e+06,1.385384383185697719e+06,-1.916533332182706999e+03,1.385384383185697743e+03,1.781723435093533681e+03,1.692403471158048205e+03,6.188593192169189453e+06,6.188593192169189017e+00
4.000000000000000000e+00,7.316391659556954401e+05,6.278205370983610628e+05,7.316391659556954892e+02,6.278205370983611147e+02,4.429895933231936397e+03,9.348396250707114632e+02,4.357576265609741211e+06,4.357576265609741206e+00
5.000000000000000000e+00,-1.919992435169559671e+06,2.940508788525464013e+06,-1.919992435169559712e+03,2.940508788525463842e+03,1.778264332106680968e+03,3.247527876497814304e+03,4.321115117141723633e+06,4.321115117141723694e+00
6.000000000000000000e+00,1.985689077575315721e+06,2.827718007422124967e+06,1.985689077575315650e+03,2.827718007422125083e+03,5.683945844851556103e+03,3.134737095394475546e+03,4.503173218104362488e+06,4.503173218104362441e+00
7.000000000000000000e+00,1.707022770139384083e+06,4.845896201279798988e+05,1.707022770139384193e+03,4.845896201279799129e+02,5.405279537415624873e+03,7.916087081003303183e+02,7.544151290047645569e+06,7.544151290047645730e+00
8.000000000000000000e+00,-8.588133610219683032e+05,2.902564728126390837e+05,-8.588133610219682623e+02,2.902564728126390605e+02,2.839443406254272304e+03,5.972755607849894659e+02,2.172814755737304688e+06,2.172814755737304537e+00
9.000000000000000000e+00,1.696783021255138738e+05,1.485605225944357226e+06,1.696783021255138806e+02,1.485605225944357244e+03,3.867935069401754390e+03,1.792624313916707706e+03,4.961085191619873047e+06,4.961085191619872603e+00
1.000000000000000000e+01,-8.337391360832581995e+05,2.934973322974616662e+06,-8.337391360832582450e+02,2.934973322974616622e+03,2.864517631192982662e+03,3.241992410946967084e+03,3.652332431030273438e+06,3.652332431030273607e+00
1.100000000000000000e+01,-2.448102942596756475e+04,3.006405738554439507e+06,-2.448102942596756648e+01,3.006405738554439722e+03,3.673775737850272890e+03,3.313424826526790184e+03,4.056388969738006592e+06,4.056388969738006445e+00
1.200000000000000000e+01,1.070257013075930066e+06,1.264252478993775789e+06,1.070257013075929990e+03,1.264252478993775867e+03,4.768513780352170215e+03,1.571271566966126329e+03,7.703337657989501953e+06,7.703337657989502318e+00
1.300000000000000000e+01,1.944769605251670349e+06,2.100610825769831426e+06,1.944769605251670328e+03,2.100610825769831536e+03,5.643026372527911008e+03,2.407629913742181998e+03,8.354572621534347534e+06,8.354572621534346766e+00
1.400000000000000000e+01,-1.468055195691113826e+06,4.269768708914518356e+05,-1.468055195691113795e+03,4.269768708914518243e+02,2.230201571585126658e+03,7.339959588638022296e+02,1.978303983749389648e+06,1.978303983749389650e+00
1.500000000000000000e+01,1.309998113468743861e+06,2.174508043376862537e+06,1.309998113468743895e+03,2.174508043376862588e+03,5.008254880744984803e+03,2.481527131349213050e+03,7.885145377578735352e+06,7.885145377578735015e+00
1.600000000000000000e+01,-2.161055217104952317e+06,1.986089760554510634e+06,-2.161055217104952135e+03,1.986089760554510576e+03,1.537201550171288545e+03,2.293108848526861038e+03,3.536189523468017578e+06,3.536189523468017626e+00
1.700000000000000000e+01,9.252867454988824902e+05,2.985022219928778708e+06,9.252867454988825102e+02,2.985022219928778668e+03,4.623543512775123418e+03,3.292041307901129130e+03,2.983209004425048828e+06,2.983209004425048771e+00
1.800000000000000000e+01,-1.344764974663910922e+06,1.236670478679455817e+06,-1.344764974663910834e+03,1.236670478679455755e+03,2.353491792612329846e+03,1.543689566651806217e+03,3.147901057693481445e+06,3.147901057693481608e+00
1.900000000000000000e+01,-1.336360117295938311e+06,2.185331226448016707e+06,-1.336360117295938380e+03,2.185331226448016878e+03,2.361896649980302300e+03,2.492350314420367340e+03,2.676955160766601562e+06,2.676955160766601782e+00
2.000000000000000000e+01,-6.294630417571340222e+05,1.029314393107379088e+06,-6.294630417571340786e+02,1.029314393107379146e+03,3.068793725519106374e+03,1.336333481079729609e+03,4.673177062927246094e+06,4.673177062927246439e+00
2.100000000000000000e+01,2.085349525245180121e+05,2.264071810021696147e+06,2.085349525245180189e+02,2.264071810021696365e+03,3.906791719800758528e+03,2.571090897994046827e+03,4.527286841217041016e+06,4.527286841217041058e+00
2.200000000000000000e+01,7.083217804672490456e+04,8.313066532230876619e+05,7.083217804672490558e+01,8.313066532230876646e+02,3.769088945322965628e+03,1.138325741195438013e+03,8.677857367691040039e+06,8.677857367691039769e+00
2.300000000000000000e+01,-2.184768007645219099e+06,4.425541741045522504e+05,-2.184768007645219313e+03,4.425541741045522599e+02,1.513488759631021367e+03,7.495732620769026653e+02,1.683855390243530273e+06,1.683855390243530259e+00
2.400000000000000000e+01,-1.914326652943251829e+05,3.081228501033047214e+05,-1.914326652943251759e+02,3.081228501033046996e+02,3.506824101981915646e+03,6.151419380756551618e+02,3.800941426742553711e+06,3.800941426742553642e+00
