cluster_id,x_m,y_m,x_km,y_km,x_km_shift,y_km_shift,total_demand,scaled_demand
0.000000000000000000e+00,1.673614998227621429e+06,1.713684704029758228e+06,1.673614998227621527e+03,1.713684704029758223e+03,4.590826380820044506e+03,1.556773205627438756e+03,4.720224548493497074e+06,4.720224548493496819e+00
1.000000000000000000e+00,-2.891791331725864438e+03,1.172562695451635635e+06,-2.891791331725864556e+00,1.172562695451635591e+03,2.914319591260697507e+03,1.015651197049316238e+03,5.241072784805297852e+06,5.241072784805298035e+00
2.000000000000000000e+00,-1.728165701382490341e+06,1.388094579760941677e+06,-1.728165701382490397e+03,1.388094579760941770e+03,1.189045681209933036e+03,1.231183081358622303e+03,6.492565733961226419e+06,6.492565733961226826e+00
3.000000000000000000e+00,1.213913943704609293e+06,2.059063739575670799e+06,1.213913943704609210e+03,2.059063739575670752e+03,4.131125326297033098e+03,1.902152241173351285e+03,5.819922192025542259e+06,5.819922192025542174e+00
4.000000000000000000e+00,-1.830056249106173404e+06,2.820133921823675744e+06,-1.830056249106173482e+03,2.820133921823675792e+03,1.087155133486249952e+03,2.663222423421356325e+03,2.957229207482933998e+06,2.957229207482933830e+00
5.000000000000000000e+00,1.687946500938803656e+05,7.432950345254768617e+05,1.687946500938803638e+02,7.432950345254768081e+02,3.086006032686304025e+03,5.863835361231574552e+02,4.179922459846138954e+06,4.179922459846139304e+00
6.000000000000000000e+00,1.278575082912114449e+06,1.256605216530547477e+06,1.278575082912114340e+03,1.256605216530547523e+03,4.195786465504537773e+03,1.099693718128228056e+03,6.025703977140929550e+06,6.025703977140929979e+00
7.000000000000000000e+00,-5.861899193270086544e+05,2.653439479293380864e+06,-5.861899193270086244e+02,2.653439479293380828e+03,2.331021463265414695e+03,2.496527980891061361e+03,2.631828197125717998e+06,2.631828197125718027e+00
8.000000000000000000e+00,1.914943508110838011e+06,2.256932561567863915e+06,1.914943508110837911e+03,2.256932561567864013e+03,4.832154890703261117e+03,2.100021063165544547e+03,6.408227655706904829e+06,6.408227655706904891e+00
9.000000000000000000e+00,-7.152553533841364551e+05,1.818992382293732371e+06,-7.152553533841364697e+02,1.818992382293732362e+03,2.201956029208286964e+03,1.662080883891412896e+03,2.976288034271240234e+06,2.976288034271240335e+00
1.000000000000000000e+01,7.238178853539975826e+05,2.186868013821735047e+06,7.238178853539975535e+02,2.186868013821735076e+03,3.641029267946420987e+03,2.029956515419415609e+03,5.397154295463480055e+06,5.397154295463479912e+00
1.100000000000000000e+01,7.063568169565111166e+05,9.966995753189730458e+05,7.063568169565111248e+02,9.966995753189730749e+02,3.623568199548934444e+03,8.397880769166537220e+02,4.568953634868972003e+06,4.568953634868972102e+00
1.200000000000000000e+01,-2.104593840967978351e+06,1.924633089033594355e+06,-2.104593840967978394e+03,1.924633089033594388e+03,8.126175416244450389e+02,1.767721590631274921e+03,3.241701362610235810e+06,3.241701362610236004e+00
1.300000000000000000e+01,1.159919903352919500e+05,1.822513682185513433e+06,1.159919903352919448e+02,1.822513682185513517e+03,3.033203372927715463e+03,1.665602183783194050e+03,3.800043915588378906e+06,3.800043915588378951e+00
1.400000000000000000e+01,-6.802885994171027560e+05,1.061620400103463093e+06,-6.802885994171027733e+02,1.061620400103462998e+03,2.236922783175320546e+03,9.047089017011436454e+02,4.172138072809470817e+06,4.172138072809470799e+00
1.500000000000000000e+01,1.674806260655485676e+05,2.481688517225464806e+06,1.674806260655485630e+02,2.481688517225464693e+03,3.084692008657972110e+03,2.324777018823145227e+03,3.252382105146520771e+06,3.252382105146520708e+00
1.600000000000000000e+01,-1.323534986432169098e+06,2.212545096896403003e+06,-1.323534986432169035e+03,2.212545096896402811e+03,1.593676396160254399e+03,2.055633598494083344e+03,2.521533412033081055e+06,2.521533412033081234e+00
1.700000000000000000e+01,-1.670657675909514946e+05,5.980854296432838310e+05,-1.670657675909514808e+02,5.980854296432838737e+02,2.750145615001471924e+03,4.411739312409645208e+02,3.016529667007841170e+06,3.016529667007841198e+00
1.800000000000000000e+01,1.532905955173274269e+06,5.731441013818243518e+05,1.532905955173274378e+03,5.731441013818243846e+02,4.450117337765697812e+03,4.162326029795050317e+02,4.340515503561876714e+06,4.340515503561876542e+00
1.900000000000000000e+01,8.019378603114950238e+05,1.648899725235938793e+06,8.019378603114950010e+02,1.648899725235938831e+03,3.719149242903918548e+03,1.491988226833619365e+03,4.789659325286865234e+06,4.789659325286865332e+00
