node_id,node_type,x_m,y_m,x_km,y_km,x_km_shift,y_km_shift,total_supply,scaled_supply
1,wind,-360549.189000,1167960.364000,-360.549189,1167.960364,2556.662194,1011.048866,160,16
2,wind,505641.894000,2113617.410000,505.641894,2113.617410,3322.853277,1956.705912,65,6.5
3,wind,-0.38000,1607214.8000,-0.00038,1607.2148,2917.211003,1450.303306,30,3
4,wind,-734011.116000,1912008.569000,-734.011116,1912.008569,2183.200267,1755.097071,25,2.5
5,wind,-2151912.628000,2412902.080000,-2151.912628,2412.902080,765.298755,2255.990582,15,1.5
6,solar,-2017662.280000,1566773.034000,-2017.662280,1566.773034,899.549103,1409.861536,57,5.7
7,solar,-380742.690000,888480.450000,-380.742690,888.480450,2536.468693,731.568952,27,2.7
8,solar,1520641.734000,1519130.746000,1520.641734,1519.130746,4437.853117,1362.219248,18,1.8
9,solar,1368873.544000,704222.915000,1368.873544,704.222915,4286.084927,547.311417,15,1.5
10,solar,815272.358000,2109760.070000,815.272358,2109.760070,3732.483741,1952.848572,8,0.8
